PRESIDENCIA MUNICIPAL
02/07/2018 11:45(UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CON_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
2648,2648,0,2648,100.0000,2441,92.1827,21.7145,47,1456583,913470,912031,62.7132

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,MC,PANAL,PVEM,PES,M,PT,CQ,QI,MORENA_PT_PES,MORENA_PT,MORENA_PES,PT_PES,PRI_PVEM,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,CAND_IND_1,CAND_IND_2,CAND_IND_3,CAND_IND_4,CAND_IND_5,CAND_IND_6,CAND_IND_7,CAND_IND_8,CAND_IND_9,CAND_IND_10,CAND_IND_11,CAND_IND_12,CAND_IND_13,CAND_IND_14,CAND_IND_15,CAND_IND_16,CAND_IND_17,CAND_IND_18,CAND_IND_19,CAND_IND_20,CAND_IND_21,CAND_IND_22,CAND_IND_23,CAND_IND_24,CAND_IND_25,CAND_IND_26,CAND_IND_27,CAND_IND_28,CAND_IND_29,CAND_IND_30,CAND_IND_31,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
"220004C0200","220004C0200",22,"QUERETARO",1,"AMEALCO DE BONFIL","0004",11,"C",00,"URBANA",05,317,353,0,353,124,159,2,,18,4,2,22,3,3,1,0,0,0,0,3,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,0,12,353,353,549,21,,1,D,06C28C2936B583BDE0D64F189A65D46BEF90FB3AE4F1DB1F8BB6E258307AA9C3,01/07/2018 22:37:24,01/07/2018 22:45:45,01/07/2018 22:47:25,CATD,ESCANER,ACTA PREP
"220005B0100","220005B0100",22,"QUERETARO",1,"AMEALCO DE BONFIL","0005",12,"B",00,"NO URBANA",05,156,369,6,Sin dato,143,160,2,,7,9,3,30,0,3,1,0,0,0,0,7,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,1,9,375,375,510,21,,1,D,E75982EF8505F62A1B0232B646CCC450BD800E0CF46F9509A2150A7EA6741E91,01/07/2018 23:28:09,01/07/2018 23:36:36,01/07/2018 23:37:47,CATD,ESCANER,ACTA PREP
"220005C0100","220005C0100",22,"QUERETARO",1,"AMEALCO DE BONFIL","0005",13,"C",00,"NO URBANA",05,176,346,9,Sin dato,152,152,0,,8,4,2,18,0,0,2,0,0,0,0,3,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,1,11,355,353,510,21,,1,D,D4AAC3E10B5B8FDDF2821DCA473023A037069F21DC0E93F74A15493DF45F078E,01/07/2018 23:16:42,01/07/2018 23:27:38,01/07/2018 23:28:49,CATD,ESCANER,ACTA PREP
"220005C0200","220005C0200",22,"QUERETARO",1,"AMEALCO DE BONFIL","0005",14,"C",00,"NO URBANA",05,160,363,8,370,136,162,2,,12,6,4,25,4,0,3,1,1,0,0,1,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,0,13,370,370,510,21,,1,D,6E70E54A570EBAB7A4479345BDCADAAD8D7278862BAA51C4FB5C812541B54339,02/07/2018 01:00:59,02/07/2018 01:30:29,02/07/2018 01:58:05,CATD,ESCANER,ACTA PREP
"220006B0100","220006B0100",22,"QUERETARO",1,"AMEALCO DE BONFIL","0006",15,"B",00,"NO URBANA",05,211,Ilegible,1,277,178,58,1,,3,3,3,11,11,0,0,2,0,0,1,1,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,0,14,277,286,467,21,,1,D,34EBF842EA74312904E7F1356B3909C95D1B0320A18DA2E57FDB7549388081DC,01/07/2018 23:49:09,02/07/2018 00:11:20,02/07/2018 00:25:24,CATD,ESCANER,ACTA PREP
"220006C0100","220006C0100",22,"QUERETARO",1,"AMEALCO DE BONFIL","0006",16,"C",00,"NO URBANA",05,220,267,0,267,142,80,1,,1,6,1,8,3,0,0,2,0,0,0,7,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,0,16,267,267,466,21,,1,D,EA3EF3002D56523CCECD7C94CB9A8875212C5086031D27B9E2578A5713A8EB80,01/07/2018 23:43:38,02/07/2018 01:56:10,02/07/2018 02:27:58,CATD,ESCANER,ACTA PREP
"220007B0100","220007B0100",22,"QUERETARO",1,"AMEALCO DE BONFIL","0007",17,"B",00,"NO URBANA",05,265,478,1,Sin dato,226,Ilegible,6,,8,8,6,16,7,1,0,2,2,0,0,8,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,Sin dato,25,479,315,723,21,ALGÃN CAMPO ILEGIBLE O SIN DATO,1,D,C288842B63AC9622B2E1B69F2E31A429DCA129B8B45E2D32A3410DC842085BF7,02/07/2018 00:25:58,02/07/2018 01:10:29,02/07/2018 01:21:48,CATD,ESCANER,ACTA PREP
"220008B0100","220008B0100",22,"QUERETARO",1,"AMEALCO DE BONFIL","0008",18,"B",00,"NO URBANA",05,240,395,1,395,203,134,3,,5,3,1,9,4,0,0,0,0,0,0,6,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,0,27,Sin dato,395,614,21,,1,D,76AA0D75DED8C3C27CD9AD45501E726B36C266EF9C827EDFC8EAB7E02019DE5C,02/07/2018 00:05:35,02/07/2018 00:58:26,02/07/2018 01:01:09,CATD,ESCANER,CC
"220008C0100","220008C0100",22,"QUERETARO",1,"AMEALCO DE BONFIL","0008",19,"C",00,"NO URBANA",05,232,400,0,400,206,128,7,,1,5,0,10,9,1,2,Sin dato,Sin dato,Sin dato,Sin dato,1,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,Sin dato,31,400,401,614,21,ALGÃN CAMPO ILEGIBLE O SIN DATO,1,D,07BE5AE28AF5EAFF36596E54B5434451DFA745AF6C968243779A7902A79E05C6,02/07/2018 00:04:33,02/07/2018 00:19:00,02/07/2018 00:21:03,CATD,ESCANER,ACTA PREP
"220009B0100","220009B0100",22,"QUERETARO",1,"AMEALCO DE BONFIL","0009",20,"B",00,"NO URBANA",05,391,360,1,360,216,84,2,,0,2,4,7,3,1,0,0,0,1,1,13,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,0,26,360,360,730,21,,1,D,C3E15D82FCED3BF749AE42083226DA3952899B3398042FAFC8ED4292E05FD4B5,01/07/2018 23:16:06,02/07/2018 00:02:35,02/07/2018 00:03:44,CATD,ESCANER,ACTA PREP
