PRESIDENCIA MUNICIPAL
02/07/2018 11:45(UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CON_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
2648,2648,0,2648,100.0000,2441,92.1827,21.7145,47,1456583,913470,912031,62.7132

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,MC,PANAL,PVEM,PES,M,PT,CQ,QI,MORENA_PT_PES,MORENA_PT,MORENA_PES,PT_PES,PRI_PVEM,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,CAND_IND_1,CAND_IND_2,CAND_IND_3,CAND_IND_4,CAND_IND_5,CAND_IND_6,CAND_IND_7,CAND_IND_8,CAND_IND_9,CAND_IND_10,CAND_IND_11,CAND_IND_12,CAND_IND_13,CAND_IND_14,CAND_IND_15,CAND_IND_16,CAND_IND_17,CAND_IND_18,CAND_IND_19,CAND_IND_20,CAND_IND_21,CAND_IND_22,CAND_IND_23,CAND_IND_24,CAND_IND_25,CAND_IND_26,CAND_IND_27,CAND_IND_28,CAND_IND_29,CAND_IND_30,CAND_IND_31,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
"220099C0100","220099C0100",22,"QUERETARO",5,"CORREGIDORA","0099",282,"C",00,"NO URBANA",05,241,519,10,Sin dato,275,37,4,6,4,8,6,110,14,Sin dato,,6,2,Sin dato,Sin dato,2,5,2,1,Sin dato,,-,,,,,8,,,-,14,9,,-,-,,,,,,,,-,-,-,-,,,,,7,1,6,Sin dato,527,744,26,ALGÃN CAMPO ILEGIBLE O SIN DATO,1,D,D258E1D764D4C2B845F6A0759EB779896DAAB566B4725696903B252B9E7CF36E,02/07/2018 00:25:02,02/07/2018 00:34:15,02/07/2018 00:36:59,CATD,ESCANER,ACTA PREP
"220099C0200","220099C0200",22,"QUERETARO",5,"CORREGIDORA","0099",289,"C",00,"NO URBANA",05,263,499,8,507,273,45,3,6,5,10,4,97,9,3,,4,0,1,0,2,5,2,1,0,,-,,,,,11,,,-,11,5,,-,-,,,,,,,,-,-,-,-,,,,,5,0,5,507,507,744,26,,1,D,9CD608ECA9DB9529F0D73DA49AD5C2EB2ED88943D74E09CD2DFFB70DDC901781,02/07/2018 02:22:37,02/07/2018 02:38:37,02/07/2018 05:13:47,CATD,ESCANER,ACTA PREP
"220099C0300","220099C0300",22,"QUERETARO",5,"CORREGIDORA","0099",290,"C",00,"NO URBANA",05,258,502,9,511,290,32,0,6,3,12,5,84,5,4,,6,1,0,0,2,5,1,2,0,,-,,,,,13,,,-,13,4,,-,-,,,,,,,,-,-,-,-,,,,,12,0,10,508,510,744,26,,1,D,21F922769CE3B17887CBF3E83119826AD9F1E23A57FA2833A72F2CE4737E70F9,02/07/2018 01:59:56,02/07/2018 02:35:52,02/07/2018 04:20:32,CATD,ESCANER,ACTA PREP
"220099C0400","220099C0400",22,"QUERETARO",5,"CORREGIDORA","0099",291,"C",00,"NO URBANA",05,266,494,10,504,258,35,4,5,8,10,3,104,10,3,,0,0,0,0,1,4,1,0,0,,-,,,,,14,,,-,25,3,,-,-,,,,,,,,-,-,-,-,,,,,8,0,8,504,504,744,26,,1,D,8ADADE8EFECF7317BBC30F99BD23888AF79D6CECAC7EC08F4571D21ECC591F7C,02/07/2018 01:29:33,02/07/2018 01:42:59,02/07/2018 02:14:03,CATD,ESCANER,ACTA PREP
"220099C0500","220099C0500",22,"QUERETARO",5,"CORREGIDORA","0099",292,"C",00,"NO URBANA",05,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,,,,,744,26,SIN ACTA POR PAQUETE NO ENTREGADO,,D,,02/07/2018 02:16:26,,,CATD,ESCANER,
"220099C0600","220099C0600",22,"QUERETARO",5,"CORREGIDORA","0099",293,"C",00,"NO URBANA",05,287,476,7,482,231,40,0,3,10,9,5,90,22,1,,4,6,1,0,0,1,2,1,0,,-,,,,,10,,,-,14,14,,-,-,,,,,,,,-,-,-,-,,,,,9,1,8,482,482,744,26,,1,D,148338772A8BDAD62005B0948BB41359C05F7A3E563198A889AC56C41A26EB94,02/07/2018 02:00:57,02/07/2018 05:41:56,02/07/2018 06:52:58,CATD,ESCANER,CC
"220099C0700","220099C0700",22,"QUERETARO",5,"CORREGIDORA","0099",294,"C",00,"NO URBANA",05,297,470,3,473,205,51,2,7,10,16,1,84,14,3,,4,1,0,0,2,4,2,0,0,,-,,,,,11,,,-,25,18,,-,-,,,,,,,,-,-,-,-,,,,,5,0,8,473,473,744,26,,1,D,82EF8CADB1091A8FB704BF045DD15F8DEC89BF26F195DD748526EA92D078C3A7,02/07/2018 01:18:19,02/07/2018 01:38:07,02/07/2018 02:06:38,CATD,ESCANER,ACTA PREP
"220099C0800","220099C0800",22,"QUERETARO",5,"CORREGIDORA","0099",295,"C",00,"NO URBANA",05,263,501,4,507,224,44,3,4,12,11,6,100,20,3,,2,1,0,0,4,6,0,0,0,,-,,,,,16,,,-,21,13,,-,-,,,,,,,,-,-,-,-,,,,,9,0,8,507,507,744,26,,1,D,AAC6BEE28C02B5B6C3A86CDF29AE4BB4279DD7EEE868EE69FB6E2005AC06F65A,02/07/2018 00:49:05,02/07/2018 01:01:52,02/07/2018 01:10:34,CATD,ESCANER,ACTA PREP
"220099C0900","220099C0900",22,"QUERETARO",5,"CORREGIDORA","0099",296,"C",00,"NO URBANA",05,302,Ilegible,9,468,199,55,5,7,7,7,7,92,15,3,,2,0,2,1,1,5,0,0,0,,-,,,,,12,,,-,25,6,,-,-,,,,,,,,-,-,-,-,,,,,9,0,7,468,467,744,26,,1,D,10F9C9212BD384BCA859A3093FD399B70652496CD4E221CC6A048DA102A4D6CE,02/07/2018 03:02:51,02/07/2018 03:20:43,02/07/2018 06:23:21,CATD,ESCANER,ACTA PREP
"220099C1000","220099C1000",22,"QUERETARO",5,"CORREGIDORA","0099",283,"C",00,"NO URBANA",05,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,,,,,744,26,SIN ACTA POR PAQUETE NO ENTREGADO,,D,,02/07/2018 01:55:45,,,CATD,ESCANER,
"220099C1100","220099C1100",22,"QUERETARO",5,"CORREGIDORA","0099",284,"C",00,"NO URBANA",05,265,497,8,503,249,32,6,8,12,1,1,90,15,0,,2,0,0,0,2,4,2,0,0,,-,,,,,26,,,-,18,14,,-,-,,,,,,,,-,-,-,-,,,,,8,0,8,505,498,744,26,,1,D,852381D7CCDF11A67350617B70529D269E85F6571F9E27FB747FF9C352FA71DF,02/07/2018 02:32:30,02/07/2018 02:48:02,02/07/2018 05:54:18,CATD,ESCANER,ACTA PREP
"220099C1200","220099C1200",22,"QUERETARO",5,"CORREGIDORA","0099",285,"C",00,"NO URBANA",05,286,475,9,484,227,40,4,5,4,14,4,98,10,3,,3,1,0,0,2,4,0,1,0,,-,,,,,22,,,-,14,11,,-,-,,,,,,,,-,-,-,-,,,,,7,2,8,484,484,744,26,,1,D,A8DBB79F758BBF26DA4F8E371283B9F845E5735BD1F7A41FE4A805C14BF912A6,02/07/2018 01:30:37,02/07/2018 02:00:52,02/07/2018 02:45:54,CATD,ESCANER,ACTA PREP
"220099C1300","220099C1300",22,"QUERETARO",5,"CORREGIDORA","0099",286,"C",00,"NO URBANA",05,254,506,10,516,252,38,4,3,13,12,6,96,19,2,,1,2,2,0,0,5,2,0,0,,-,,,,,16,,,-,16,11,,-,-,,,,,,,,-,-,-,-,,,,,7,0,9,516,516,744,26,,1,D,586A9A4F3A417F8927551A98294A704FB0DF7B1B58D13A1A6DC9A1A60437D327,02/07/2018 01:38:06,02/07/2018 02:08:19,02/07/2018 03:06:28,CATD,ESCANER,ACTA PREP
"220099C1400","220099C1400",22,"QUERETARO",5,"CORREGIDORA","0099",287,"C",00,"NO URBANA",05,265,501,5,Sin dato,282,36,2,5,8,9,5,88,6,3,,4,2,0,0,2,4,3,0,0,,-,,,,,10,,,-,19,7,,-,-,,,,,,,,-,-,-,-,,,,,4,0,5,504,504,744,26,,1,D,B76663DA50BC91F6F7664AFA3B4B349DAF943DA5717471E3FBA2FA920A525EE1,02/07/2018 01:13:56,02/07/2018 01:28:46,02/07/2018 01:53:48,CATD,ESCANER,ACTA PREP
"220099C1500","220099C1500",22,"QUERETARO",5,"CORREGIDORA","0099",288,"C",00,"NO URBANA",05,265,496,8,503,269,46,2,2,5,14,3,98,12,1,,4,0,0,0,1,3,4,0,0,,-,,,,,7,,,-,16,3,,-,-,,,,,,,,-,-,-,-,,,,,2,0,7,504,499,743,26,,1,D,FF051E191D9852400B55AD13BA7F14870877AAC7AAD374DA55AB75E3984EE91E,02/07/2018 02:29:06,02/07/2018 02:44:05,02/07/2018 05:35:03,CATD,ESCANER,ACTA PREP
"220101B0100","220101B0100",22,"QUERETARO",5,"CORREGIDORA","0101",302,"B",00,"URBANA",05,220,445,10,455,225,41,5,4,6,14,2,72,12,2,,3,1,0,0,1,4,2,0,0,,-,,,,,13,,,-,24,10,,-,-,,,,,,,,-,-,-,-,,,,,5,0,8,454,454,629,26,,1,D,B05D29F4AD95CCBD9F42D4D03060FAB31F37A6AB95C0EF5A27E756A1DFF2A3D3,01/07/2018 23:54:07,02/07/2018 00:08:59,02/07/2018 00:10:32,CATD,ESCANER,ACTA PREP
"220101C0100","220101C0100",22,"QUERETARO",5,"CORREGIDORA","0101",303,"C",00,"URBANA",05,204,442,6,452,203,52,1,6,7,13,3,70,16,0,,7,0,0,0,2,3,0,1,0,,-,,,,,10,,,-,33,9,,-,-,,,,,,,,-,-,-,-,,,,,5,0,11,452,452,629,26,,1,D,CE9B74F89EF635A3CD2FBEFC162492DEE5715C77C34E28B995209BF39691DAF5,02/07/2018 00:01:43,02/07/2018 00:11:34,02/07/2018 00:13:20,CATD,ESCANER,ACTA PREP
"220101C0200","220101C0200",22,"QUERETARO",5,"CORREGIDORA","0101",304,"C",00,"URBANA",05,201,451,3,454,214,46,0,4,6,12,1,87,20,0,,3,3,0,0,1,1,1,1,0,,-,,,,,8,,,-,25,12,,-,-,,,,,,,,-,-,-,-,,,,,3,2,4,454,454,629,26,,1,D,7226D251348F8671445117951CC2542BFC0742C0BFF1CC068475DDC1293DA752,01/07/2018 23:51:56,02/07/2018 00:05:12,02/07/2018 00:07:15,CATD,ESCANER,CC
"220101C0300","220101C0300",22,"QUERETARO",5,"CORREGIDORA","0101",305,"C",00,"URBANA",05,208,441,5,446,189,43,3,4,6,14,5,67,26,2,,4,2,0,0,6,5,1,1,0,,-,,,,,11,,,-,33,11,,-,-,,,,,,,,-,-,-,-,,,,,5,0,8,446,446,628,26,,1,D,146784B3CF936891A6E476C7B319EB057A269822E5D734DC49B4C1691378FAF4,01/07/2018 23:27:10,01/07/2018 23:39:29,01/07/2018 23:40:34,CATD,ESCANER,ACTA PREP
"220101C0400","220101C0400",22,"QUERETARO",5,"CORREGIDORA","0101",306,"C",00,"URBANA",05,168,436,9,445,198,47,0,2,6,10,7,66,26,2,,4,0,0,0,1,4,2,0,0,,-,,,,,9,,,-,27,23,,-,-,,,,,,,,-,-,-,-,,,,,3,0,8,445,445,628,26,,1,D,E80D92837A880F6016D680582793CCB28B3181AF568265DFD7EF487AD87EC65D,01/07/2018 23:44:55,01/07/2018 23:51:36,01/07/2018 23:52:41,CATD,ESCANER,ACTA PREP
"220102B0100","220102B0100",22,"QUERETARO",5,"CORREGIDORA","0102",307,"B",00,"URBANA",05,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,,,,,546,26,SIN ACTA POR PAQUETE NO ENTREGADO,,D,,02/07/2018 02:10:23,,,CATD,ESCANER,
"220102C0100","220102C0100",22,"QUERETARO",5,"CORREGIDORA","0102",308,"C",00,"URBANA",05,193,376,3,378,141,67,2,2,10,16,3,44,22,2,,2,0,1,0,5,2,0,0,0,,-,,,,,5,,,-,14,24,,-,-,,,,,,,,-,-,-,-,,,,,3,0,13,378,378,546,26,,1,D,9CE23717F6A75A861D08512B79C2DA4B7CF3E72B5E412E9FEBCA09288F85424C,02/07/2018 01:45:45,02/07/2018 02:11:16,02/07/2018 03:48:54,CATD,ESCANER,CC
"220102C0200","220102C0200",22,"QUERETARO",5,"CORREGIDORA","0102",309,"C",00,"URBANA",05,181,385,6,391,122,76,2,1,7,25,4,53,29,1,,1,1,0,0,4,0,0,0,0,,-,,,,,10,,,-,21,18,,-,-,,,,,,,,-,-,-,-,,,,,6,1,9,391,391,546,26,,1,D,521F4BC396A54E78CABD70EC3C3AA0B92E17682CA2427943F60BF572F2C2507A,02/07/2018 00:58:15,02/07/2018 01:15:35,02/07/2018 01:38:33,CATD,ESCANER,ACTA PREP
"220103B0100","220103B0100",22,"QUERETARO",5,"CORREGIDORA","0103",310,"B",00,"NO URBANA",05,303,400,6,Sin dato,156,55,3,0,6,12,4,79,23,0,,5,4,2,0,1,1,1,0,4,,-,,,,,4,,,-,18,9,,-,-,,,,,,,,-,-,-,-,,,,,4,0,9,400,400,677,26,,1,D,D7FDC27506152CB8378DA04470D42F1DA0DA1809BFDB0C0344DC989280531605,02/07/2018 00:47:11,02/07/2018 05:17:17,02/07/2018 06:47:13,CATD,ESCANER,ACTA PREP
"220103C0100","220103C0100",22,"QUERETARO",5,"CORREGIDORA","0103",311,"C",00,"NO URBANA",05,285,411,7,422,162,41,1,4,8,16,8,72,22,0,,3,1,0,1,6,4,0,0,0,,-,,,,,6,,,-,30,19,,-,-,,,,,,,,-,-,-,-,,,,,1,0,12,422,417,677,26,,1,D,3FFA623197F2FBF93FDD66C49038B3BBB5A46B0B8C4E5D18C0C26E1230301722,02/07/2018 00:54:39,02/07/2018 01:33:56,02/07/2018 01:42:21,CATD,ESCANER,ACTA PREP
"220103C0200","220103C0200",22,"QUERETARO",5,"CORREGIDORA","0103",312,"C",00,"NO URBANA",05,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,,,,,677,26,SIN ACTA POR PAQUETE NO ENTREGADO,,D,,02/07/2018 01:18:38,,,CATD,ESCANER,
"220103C0300","220103C0300",22,"QUERETARO",5,"CORREGIDORA","0103",313,"C",00,"NO URBANA",05,269,427,6,432,166,56,2,4,4,13,5,64,23,1,,6,3,0,0,3,5,1,1,0,,-,,,,,11,,,-,35,11,,-,-,,,,,,,,-,-,-,-,,,,,6,0,12,432,432,676,26,,1,D,ED781B5B28A15C81472D011EC58D9AD65B37F89C17340C9261562BB52F9786FA,02/07/2018 01:13:35,02/07/2018 01:23:46,02/07/2018 01:48:50,CATD,ESCANER,ACTA PREP
"220103C0400","220103C0400",22,"QUERETARO",5,"CORREGIDORA","0103",314,"C",00,"NO URBANA",05,265,433,5,429,179,43,2,2,5,19,5,73,16,1,,7,2,0,0,7,8,0,2,0,,-,,,,,7,,,-,25,13,,-,-,,,,,,,,-,-,-,-,,,,,6,0,7,429,429,676,26,,1,D,97C9DB9B25A7B95D9CFA4B584DA3F39AF3F2927F2E966CEBD35AA1B61AF89A0C,02/07/2018 01:41:25,02/07/2018 02:06:57,02/07/2018 03:12:32,CATD,ESCANER,ACTA PREP
"220103C0500","220103C0500",22,"QUERETARO",5,"CORREGIDORA","0103",315,"C",00,"NO URBANA",05,276,422,8,445,162,44,2,5,17,15,6,98,26,2,,7,Sin dato,Sin dato,Sin dato,2,1,Sin dato,Ilegible,1,,-,,,,,9,,,-,21,12,,-,-,,,,,,,,-,-,-,-,,,,,5,10,10,445,455,676,26,ALGÃN CAMPO ILEGIBLE O SIN DATO,1,D,DE8296B3741CD8AE19C2A78BD5DD39D38E7EBA4E073FAFA333227BF4769147EC,02/07/2018 02:43:43,02/07/2018 02:52:55,02/07/2018 06:13:13,CATD,ESCANER,ACTA PREP
"220103C0600","220103C0600",22,"QUERETARO",5,"CORREGIDORA","0103",316,"C",00,"NO URBANA",05,284,414,4,430,165,43,2,3,9,16,3,84,17,4,,3,4,2,0,5,5,1,0,0,,-,,,,,9,,,-,18,21,,-,-,,,,,,,,-,-,-,-,,,,,4,0,12,430,430,676,26,,1,D,BFB9D0586E724E34B261B165CC78F11F7CE681C1510F432AD32857202F66BCF8,02/07/2018 01:50:25,02/07/2018 02:18:41,02/07/2018 04:10:33,CATD,ESCANER,CC
"220105B0100","220105B0100",22,"QUERETARO",5,"CORREGIDORA","0105",320,"B",00,"URBANA",05,384,348,5,353,127,39,5,5,8,23,2,64,18,0,,3,3,0,0,1,1,0,0,0,,-,,,,,5,,,-,33,6,,-,-,,,,,,,,-,-,-,-,,,,,3,0,7,353,353,712,26,,1,D,24946EE0D3D6D2F6CD57990E68EBD29553ACE9EFD881697415892276BC12220C,02/07/2018 02:27:11,02/07/2018 02:40:52,02/07/2018 05:19:32,CATD,ESCANER,CC
"220105C0100","220105C0100",22,"QUERETARO",5,"CORREGIDORA","0105",321,"C",00,"URBANA",05,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,,,,,712,26,SIN ACTA POR PAQUETE NO ENTREGADO,,D,,02/07/2018 03:01:11,,,CATD,ESCANER,
"220105C0200","220105C0200",22,"QUERETARO",5,"CORREGIDORA","0105",324,"C",00,"URBANA",05,361,373,5,378,113,46,2,4,9,22,5,80,16,3,,2,1,0,1,5,1,0,2,0,,-,,,,,4,,,-,27,12,,-,-,,,,,,,,-,-,-,-,,,,,4,0,19,378,378,712,26,,1,D,B682ADBE5DC9BC30CDDC088A38267236C3806F226A449E5504166EDEA922B9E7,02/07/2018 02:19:43,02/07/2018 02:29:20,02/07/2018 04:56:07,CATD,ESCANER,ACTA PREP
"220105C0300","220105C0300",22,"QUERETARO",5,"CORREGIDORA","0105",325,"C",00,"URBANA",05,357,372,9,381,111,64,6,2,6,20,5,62,18,2,,4,2,1,0,5,1,2,0,0,,-,,,,,5,,,-,44,10,,-,-,,,,,,,,-,-,-,-,,,,,3,0,8,381,381,712,26,,1,D,F825D65D3E08B13A19AAFC3EB7C9C277D9A58D71B7A6208EC62044DC6B06DDC3,02/07/2018 02:23:35,02/07/2018 06:36:59,02/07/2018 06:49:05,CATD,ESCANER,ACTA PREP
"220105C0400","220105C0400",22,"QUERETARO",5,"CORREGIDORA","0105",326,"C",00,"URBANA",05,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,,,,,712,26,SIN ACTA POR PAQUETE NO ENTREGADO,,D,,02/07/2018 02:13:51,,,CATD,ESCANER,
"220105C0500","220105C0500",22,"QUERETARO",5,"CORREGIDORA","0105",327,"C",00,"URBANA",05,363,366,8,374,111,50,1,1,5,25,6,66,24,0,,3,2,4,0,8,3,0,0,0,,-,,,,,7,,,-,31,8,,-,-,,,,,,,,-,-,-,-,,,,,9,0,10,374,374,711,26,,1,D,5C918D9D398737434B8C3EFDB525E491DE5DE8B37CF931705DEB77DA8779F7B3,02/07/2018 01:48:29,02/07/2018 02:14:45,02/07/2018 03:53:54,CATD,ESCANER,CC
"220105C0600","220105C0600",22,"QUERETARO",5,"CORREGIDORA","0105",328,"C",00,"URBANA",05,355,374,8,382,121,41,6,5,17,20,10,50,21,0,,3,1,0,1,6,1,1,0,0,,-,,,,,2,,,-,43,16,,-,-,,,,,,,,-,-,-,-,,,,,9,0,8,382,382,711,26,,1,D,E3460C86B39B064732BF630D3F2ACC1D15EE88354D46952A9A1DE2DD5084821F,02/07/2018 03:34:06,02/07/2018 04:38:15,02/07/2018 06:43:25,CATD,ESCANER,ACTA PREP
"220105C0700","220105C0700",22,"QUERETARO",5,"CORREGIDORA","0105",329,"C",00,"URBANA",05,371,366,0,1,110,37,4,3,7,18,3,72,24,1,,5,2,0,3,4,4,0,0,0,,-,,,,,7,,,-,34,12,,-,-,,,,,,,,-,-,-,-,,,,,4,0,13,366,367,711,26,,1,D,A5558FEE57C52DE148AA32714C250EC4D1622700C86F9985050839D4C79941B4,02/07/2018 04:31:52,02/07/2018 04:47:24,02/07/2018 06:46:06,CATD,ESCANER,ACTA PREP
"220105C0800","220105C0800",22,"QUERETARO",5,"CORREGIDORA","0105",330,"C",00,"URBANA",05,371,362,4,366,103,46,5,3,4,20,8,68,29,4,,4,4,1,1,5,1,1,1,0,,-,,,,,6,,,-,33,8,,-,-,,,,,,,,-,-,-,-,,,,,4,0,7,366,366,711,26,,1,D,DC9575EF478948891660282BC2B48F3E276343E86ABE3FEACA5DE7CC6E2E9953,02/07/2018 03:47:46,02/07/2018 04:36:33,02/07/2018 06:42:34,CATD,ESCANER,ACTA PREP
"220105C0900","220105C0900",22,"QUERETARO",5,"CORREGIDORA","0105",331,"C",00,"URBANA",05,380,355,2,357,98,55,5,0,4,21,5,70,25,1,,3,1,0,0,4,1,1,1,0,,-,,,,,2,,,-,38,6,,-,-,,,,,,,,-,-,-,-,,,,,5,0,11,357,357,711,26,,1,D,1547D426B13C9091EE67237461F523DCB371DD74A893C5696AB17B5C0001E07C,02/07/2018 04:32:39,02/07/2018 04:47:27,02/07/2018 06:46:05,CATD,ESCANER,ACTA PREP
"220105C1000","220105C1000",22,"QUERETARO",5,"CORREGIDORA","0105",322,"C",00,"URBANA",05,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,,,,,711,26,SIN ACTA POR PAQUETE NO ENTREGADO,,D,,02/07/2018 04:22:43,,,CATD,ESCANER,
"220105C1100","220105C1100",22,"QUERETARO",5,"CORREGIDORA","0105",323,"C",00,"URBANA",05,355,381,1,382,114,55,4,2,7,16,13,80,19,3,,5,0,0,0,3,3,3,0,0,,-,,,,,3,,,-,29,6,,-,-,,,,,,,,-,-,-,-,,,,,5,0,12,382,382,711,26,,1,D,15C3269D57B3AD2D9A9FC422C1790E7E37A533F9126E51A52A5C2327FD8CE0C2,02/07/2018 03:34:12,02/07/2018 04:33:19,02/07/2018 06:43:30,CATD,ESCANER,ACTA PREP
"220110B0100","220110B0100",22,"QUERETARO",5,"CORREGIDORA","0110",345,"B",00,"URBANA",05,278,461,7,460,195,43,4,0,20,20,2,93,15,3,,5,2,0,0,3,6,0,0,0,,-,,,,,14,,,-,12,8,,-,-,,,,,,,,-,-,-,-,,,,,13,0,8,466,466,720,26,,1,D,42F92E83C7D0C0863C36A4C6B5693152473802FD66AE4BB9DA2BC1687E298758,02/07/2018 01:41:46,02/07/2018 02:08:17,02/07/2018 03:21:25,CATD,ESCANER,ACTA PREP
"220110C0100","220110C0100",22,"QUERETARO",5,"CORREGIDORA","0110",346,"C",00,"URBANA",05,280,461,Sin dato,Sin dato,182,47,5,1,29,17,1,80,20,3,,8,3,2,1,2,3,1,1,0,,-,,,,,15,,,-,14,9,,-,-,,,,,,,,-,-,-,-,,,,,6,0,6,467,456,719,26,,1,D,A7EFCCD79CC497A88719D2C8D3C5FCE6A4AC23C658F6D6914D6BFA21329E9E68,02/07/2018 01:34:48,02/07/2018 02:07:38,02/07/2018 02:53:40,CATD,ESCANER,ACTA PREP
"220110C0200","220110C0200",22,"QUERETARO",5,"CORREGIDORA","0110",347,"C",00,"URBANA",05,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,,,,,719,26,SIN ACTA POR PAQUETE NO ENTREGADO,,D,,02/07/2018 00:05:13,,,CATD,ESCANER,
"220110C0300","220110C0300",22,"QUERETARO",5,"CORREGIDORA","0110",348,"C",00,"URBANA",05,269,472,4,476,186,53,4,2,16,21,6,87,22,2,,6,4,1,0,3,4,1,0,0,,-,,,,,12,,,-,11,9,,-,-,,,,,,,,-,-,-,-,,,,,11,1,14,476,476,719,26,,1,D,E58B0C50167B6A2AF700F62C9099ACFC59D407815D3A5737F43B20DA2BE3CF8D,01/07/2018 23:40:42,01/07/2018 23:49:03,01/07/2018 23:50:05,CATD,ESCANER,ACTA PREP
"220111B0100","220111B0100",22,"QUERETARO",5,"CORREGIDORA","0111",349,"B",00,"URBANA",05,Sin dato,Sin dato,Sin dato,Sin dato,125,50,2,6,9,22,3,89,27,3,,3,4,1,0,1,Ilegible,3,1,0,,-,,,,,11,,,-,9,14,,-,-,,,,,,,,-,-,-,-,,,,,4,0,14,402,401,646,26,ALGÃN CAMPO ILEGIBLE O SIN DATO,1,D,224CCE40628FAE276B94BAEEC087C5F044C8CA348B65986DCF9B933B33F1186E,01/07/2018 23:52:42,01/07/2018 23:55:33,02/07/2018 00:06:57,CATD,ESCANER,ACTA PREP
"220111C0100","220111C0100",22,"QUERETARO",5,"CORREGIDORA","0111",350,"C",00,"URBANA",05,270,394,8,398,114,60,3,0,17,23,9,102,16,8,,4,0,1,0,3,1,1,0,0,,-,,,,,6,,,-,12,5,,-,-,,,,,,,,-,-,-,-,,,,,4,0,13,402,402,646,26,,1,D,296467F32A0A0A9AA96A1FFAA767E78A226594E94FCB34225A5C5C3275012149,02/07/2018 02:09:07,02/07/2018 02:21:31,02/07/2018 04:44:18,CATD,ESCANER,ACTA PREP
"220111C0200","220111C0200",22,"QUERETARO",5,"CORREGIDORA","0111",351,"C",00,"URBANA",05,263,401,8,406,130,53,7,3,8,12,6,99,31,1,,3,3,0,0,3,3,0,0,0,,-,,,,,9,,,-,9,6,,-,-,,,,,,,,-,-,-,-,,,,,8,0,15,409,409,645,26,,1,D,A490758ADC78498310375A262F5B3015ED080D82AEA0B4DF5E96E59D44A4B99F,02/07/2018 02:05:29,02/07/2018 02:23:02,02/07/2018 04:32:43,CATD,ESCANER,ACTA PREP
"220111C0300","220111C0300",22,"QUERETARO",5,"CORREGIDORA","0111",352,"C",00,"URBANA",05,298,370,3,373,143,41,1,3,10,12,4,104,13,1,,6,4,0,1,1,2,1,0,0,,-,,,,,4,,,-,7,4,,-,-,,,,,,,,-,-,-,-,,,,,4,0,7,373,373,645,26,,1,D,44780A9E5BA5567B9F816615BBBBBECE02F0B22DEA67576309E17215F9F2A6D5,02/07/2018 00:41:36,02/07/2018 01:11:41,02/07/2018 01:16:07,CATD,ESCANER,ACTA PREP
