ID_ESTADO,ID_DISTRITO_LOCAL,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
22,8,PAN,VERONICA HERNANDEZ FLORES,MARIBEL  RUIZ ROMERO
22,8,PRD,JOSE ALBERTO  RAMIREZ OSIO,JONATAN JOVANY  CASTRO CASTRO
22,8,MC,SIDNEY  FLORES LEYVA,IVONNE ARACELI GONZALEZ ALCANTARA
22,8,NA,JUANA HERNANDEZ  TOVAR,ROSA MARIA GONZALEZ LOPEZ
22,8,CQ,VIRGINIA LOPEZ ORDAZ,BRISNA LEONOR  LARRAGOITI RESENDIZ
22,8,QI,GABRIELA  GARCIA REFUGIO,JUANA RODRIGUEZ RODRIGUEZ
22,8,MORENA-PT-PES,ALEJANDRINA MARTINA OCEGUERA SANDOVAL,EDITH GONZALEZ LARA
22,8,PRI-PVEM,FABIAN PINEDA MORALES,JAIME JURADO DURAN
22,9,PAN,ROBERTO CARLOS  CABRERA VALENCIA,SANTIAGO ALEGRIA SALINAS
22,9,PRD,BLANCA ESTELA ZARAZUA OLVERA,YOLANDA ARELLANO OLVERA
22,9,MC,VALERIA CAROL LEYVA AMADOR,MIRNA LORENA GASPAR LOPEZ
22,9,NA,ARTURO MORALES RODRIGUEZ,HECTOR FROYLAN ANGELES GARCIA
22,9,CQ,WENDY  CARLOS  GARCIA,IRMA TREJO JIMENEZ
22,9,QI,ROSALBA  ACOSTA JUAREZ,ABIGAIL  VEGA  HERNANDEZ
22,9,MORENA-PT-PES,NESTOR GABRIEL DOMINGUEZ LUNA ,ISIDRO NUÑEZ OREGON
22,9,PRI-PVEM,ADRIANA ELISA MEZA ARGALUZA,ARIANA BARRON HERNANDEZ
22,9,CAND_2,OCTAVIANO SANCHEZ MARTINEZ,ANDREA MENDEZ MUNGUIA
22,10,PAN,JOSE  GONZALEZ RUIZ,ALEJANDRO ANGEL  URIBE
22,10,PRD,MARIA DE LOS ANGELES ALVAREZ  AVILA,MA. DE LA LUZ RUIZ RESENDIZ
22,10,MC,LINO FELIPE SALVADOR VELAZQUEZ GONZAGA,JOSUE ALEJANDRO GARCIA CANIZAL
22,10,NA,LIZBETH NOGUEZ ZUÑIGA,AIDA HURTADO  MORENO
22,10,CQ,YARI ZUÑIGA HERNANDEZ,YESICA GABRIELA MEJIA CRUZ
22,10,QI,HEBERTO SAMPERIO CHAPARRO,OMAR OSCOY DOMINGUEZ
22,10,MORENA-PT-PES,MARIA VIRGINIA BARRON CARBAJAL,GUADALUPE CONSUELO OCAMPO MARTINEZ
22,10,PRI-PVEM,JUAN CARLOS PIÑA TEJEIDA,JOSE JAVIER OSORNIO SALINAS
22,11,PAN,MARTHA DANIELA SALGADO MARQUEZ,ANA BRENDA  DE LEON GUERRERO
22,11,PRI,ALEJANDRO ARTEAGA CABRERA,GERARDO BARRON MENDOZA
22,11,PRD,MARIA FERNANDA CASTRO CASTRO,MARIA CRUZ  FLORES GONZALEZ
22,11,NA,NORMA EDITH OROZCO AGUIRRE,LILIA CASTELLANOS CERVANTES
22,11,PVEM,SANDRA ARTEAGA RIOS,JESSICA EMILIA FLORES SUAREZ
22,11,CQ,HECTOR MAURICIO  CASTILLO ORTIZ,ARTURO  TREJO FERRUSCA
22,11,QI,ROMAN GARAY GONZALEZ,ANIELA MONTSERRAT GONZALEZ ROJO
22,11,MORENA-PT-PES,JOSE LUIS  TREJO MORENO,JOEL CHAVARIN QUIRARTE
22,11,CAND_15,EDUARDO RUIZ ALVAREZ,FERNANDO  MAXIMO DE JESUS
22,12,PAN,AYDE ESPINOZA GONZALEZ,JULIETA HERNANDEZ ARREDONDO
22,12,PRD,SONIA JIMENEZ LOPEZ,ROSA OLVERA GUTIERREZ
22,12,MC,J. SANTOS HERRERA GARCIA,ERIKA MARTINEZ MARTINEZ
22,12,NA,MA. ISABEL CORONEL HERNANDEZ,BEATRIZ GARCIA BAILON
22,12,CQ,J JESUS OLGUIN HERNANDEZ,GRACIELA RAMIREZ AVILES
22,12,QI,JUAN CARLOS OLVERA ALMARAZ,JOSE RAMON RICO RUIZ
22,12,MORENA-PT-PES,ANA LAURA VALLARINO HERNANDO,SILVIA PATRICIA GONZALEZ FAJARDO
22,12,PRI-PVEM,MARIA GUADALUPE CARDENAS MOLINA,CLAUDIA ADRIANA RAMOS GUEVARA
22,12,CAND_14,PABLO TLACAELEL VAZQUEZ FERRUZCA,JUAN CARLOS RAMIREZ CAMPOS
22,13,PAN,BEATRIZ GUADALUPE MARMOLEJO ROJAS,MARIA DEL CARMEN  ORTUÑO GURZA
22,13,PRD,BEATRIZ GUADALUPE MARMOLEJO ROJAS,MARIA DEL CARMEN  ORTUÑO GURZA
22,13,MC,VICTOR ALDO AGUILAR MORALES,ISRAEL EDUARDO ALBERTO  HUERTA ARISTA
22,13,NA,ALFREDO SUAREZ AGUADO,ALDO ALFREDO SUAREZ HURTADO
22,13,CQ,JACQUELINE GALICIA ALVARADO,PAOLA GONZALEZ SOTO
22,13,QI,MAURICIO ORDUÑA RUIZ,DIEGO REYES SANTOS
